IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls,DateTime
000019-01012019,01-Jan-19,2019,00:04:33,0,Fire,Secondary Fire,,Outdoor,Tree scrub ,On land associated with building,N9 7HU,N9,207088775,20704497,E09000010,ENFIELD,Enfield,E05000204,LOWER EDMONTON,LOWER EDMONTON,534494,194099,534450,194050,51.62964095,-0.058219401,London,Edmonton,357,Edmonton,,,1,1,1,1,333,1,01-01-2019 00:04
000060-01012019,01-Jan-19,2019,00:11:22,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street close to gazetteer location,SW2 4JR,SW2,1.00022E+11,21901216,E09000022,LAMBETH,Lambeth,E05000417,BRIXTON HILL,BRIXTON HILL,530226,173941,530250,173950,51.44949342,-0.127291125,London,Clapham,335,Clapham,,,1,1,1,1,333,1,01-01-2019 00:11
000061-01012019,01-Jan-19,2019,00:11:32,0,Fire,Primary Fire,,Non Residential,Private Garden Shed ,Correct incident location,,HA3,0,21201601,E09000015,HARROW,Harrow,E05000295,KENTON WEST,KENTON WEST,,,516650,189150,,,London,Stanmore,369,Stanmore,486,Harrow,2,2,4,4,1332,5,01-01-2019 00:11
000065-01012019,01-Jan-19,2019,00:13:18,0,Fire,Primary Fire,,Outdoor Structure,Outdoor storage ,On land associated with building,RM10 8NA,RM10,100013379,19900167,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05000027,ALIBON,ALIBON,549290,185040,549250,185050,51.54451765,0.15155162,London,Dagenham,307,Dagenham,379,Barking,2,2,2,2,666,6,01-01-2019 00:13
000067-01012019,01-Jan-19,2019,00:13:53,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,HA1 4JJ,HA1,10010598211,21201353,E09000015,HARROW,Harrow,E05000293,HEADSTONE SOUTH,HEADSTONE SOUTH,514369,188319,514350,188350,51.58214312,-0.350726514,London,Harrow,608,Northolt,,,1,1,1,1,333,3,01-01-2019 00:13
000074-01012019,01-Jan-19,2019,00:15:23,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street outside gazetteer location,TW8 9PS,TW8,1.00022E+11,21500275,E09000018,HOUNSLOW,Hounslow,E05000347,BRENTFORD,BRENTFORD,517751,178330,517750,178350,51.49166883,-0.305278903,London,Ealing,362,Chiswick,,,1,1,1,1,333,1,01-01-2019 00:15
000082-01012019,01-Jan-19,2019,00:17:10,0,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,E14 7AL,E14,6131657,22701288,E09000030,TOWER HAMLETS,Tower Hamlets,E05009327,MILE END,MILE END,536960,181527,536950,181550,51.5160759,-0.027515566,London,Poplar,215,Bethnal Green,,,1,1,1,1,333,14,01-01-2019 00:17
000104-01012019,01-Jan-19,2019,00:22:43,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,DA17 5LL,DA17,1.0002E+11,20100028,E09000004,BEXLEY,Bexley,E05011218,BELVEDERE,BELVEDERE,548925,178005,548950,178050,51.481405,0.143319612,London,Erith,225,Erith,,,1,1,1,1,333,1,01-01-2019 00:22
000107-01012019,01-Jan-19,2019,00:23:05,0,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,In street outside gazetteer location,N22 8PU,N22,1.00021E+11,21104845,E09000014,HARINGEY,Haringey,E05000267,BOUNDS GREEN,BOUNDS GREEN,530607,191051,530650,191050,51.60316967,-0.115474551,London,Hornsey,468,Hornsey,,,1,1,1,1,333,1,01-01-2019 00:23
000114-01012019,01-Jan-19,2019,00:29:28,0,Fire,Secondary Fire,,Outdoor Structure,Fence,Correct incident location,SW13 0AH,SW13,1.00022E+11,22404274,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05000525,MORTLAKE AND BARNES COMMON,MORTLAKE AND BARNES COMMON,521641,176092,521650,176050,51.470728,-0.2500497,London,Richmond,467,Hammersmith,,,1,1,1,1,333,3,01-01-2019 00:29
