Date_of_call,Date,Month,Year,Sum of Occurrence
01 Apr 2019,1,Apr,2019,47
01 Apr 2020,1,Apr,2020,47
01 Aug 2019,1,Aug,2019,33
01 Aug 2020,1,Aug,2020,98
01 Dec 2019,1,Dec,2019,52
01 Dec 2020,1,Dec,2020,46
01 Feb 2019,1,Feb,2019,30
01 Feb 2020,1,Feb,2020,36
01 Jan 2019,1,Jan,2019,96
01 Jan 2020,1,Jan,2020,71
01 Jul 2019,1,Jul,2019,83
01 Jul 2020,1,Jul,2020,38
01 Jun 2019,1,Jun,2019,73
01 Jun 2020,1,Jun,2020,109
01 Mar 2019,1,Mar,2019,28
01 Mar 2020,1,Mar,2020,45
01 May 2019,1,May,2019,57
01 May 2020,1,May,2020,20
01 Nov 2019,1,Nov,2019,47
01 Nov 2020,1,Nov,2020,39
01 Oct 2019,1,Oct,2019,34
01 Oct 2020,1,Oct,2020,34
01 Sep 2019,1,Sep,2019,84
01 Sep 2020,1,Sep,2020,57
02 Apr 2019,2,Apr,2019,38
02 Apr 2020,2,Apr,2020,37
02 Aug 2019,2,Aug,2019,41
02 Aug 2020,2,Aug,2020,73
02 Dec 2019,2,Dec,2019,50
02 Dec 2020,2,Dec,2020,34
02 Feb 2019,2,Feb,2019,43
02 Feb 2020,2,Feb,2020,38
02 Jan 2019,2,Jan,2019,35
02 Jan 2020,2,Jan,2020,38
02 Jul 2019,2,Jul,2019,69
02 Jul 2020,2,Jul,2020,55
02 Jun 2019,2,Jun,2019,96
02 Jun 2020,2,Jun,2020,97
02 Mar 2019,2,Mar,2019,49
02 Mar 2020,2,Mar,2020,36
02 May 2019,2,May,2019,59
02 May 2020,2,May,2020,33
02 Nov 2019,2,Nov,2019,38
02 Nov 2020,2,Nov,2020,34
02 Oct 2019,2,Oct,2019,49
02 Oct 2020,2,Oct,2020,26
02 Sep 2019,2,Sep,2019,83
02 Sep 2020,2,Sep,2020,47
03 Apr 2019,3,Apr,2019,35
03 Apr 2020,3,Apr,2020,57
03 Aug 2019,3,Aug,2019,61
03 Aug 2020,3,Aug,2020,59
03 Dec 2019,3,Dec,2019,30
03 Dec 2020,3,Dec,2020,27
03 Feb 2019,3,Feb,2019,43
03 Feb 2020,3,Feb,2020,37
03 Jan 2019,3,Jan,2019,42
03 Jan 2020,3,Jan,2020,48
03 Jul 2019,3,Jul,2019,62
03 Jul 2020,3,Jul,2020,45
03 Jun 2019,3,Jun,2019,54
03 Jun 2020,3,Jun,2020,68
03 Mar 2019,3,Mar,2019,32
03 Mar 2020,3,Mar,2020,35
03 May 2019,3,May,2019,44
03 May 2020,3,May,2020,34
03 Nov 2019,3,Nov,2019,39
03 Nov 2020,3,Nov,2020,46
03 Oct 2019,3,Oct,2019,39
03 Oct 2020,3,Oct,2020,36
03 Sep 2019,3,Sep,2019,70
03 Sep 2020,3,Sep,2020,34
04 Apr 2019,4,Apr,2019,43
04 Apr 2020,4,Apr,2020,74
04 Aug 2019,4,Aug,2019,57
04 Aug 2020,4,Aug,2020,71
04 Dec 2019,4,Dec,2019,39
04 Dec 2020,4,Dec,2020,29
04 Feb 2019,4,Feb,2019,36
04 Feb 2020,4,Feb,2020,43
04 Jan 2019,4,Jan,2019,40
04 Jan 2020,4,Jan,2020,39
04 Jul 2019,4,Jul,2019,76
04 Jul 2020,4,Jul,2020,32
04 Jun 2019,4,Jun,2019,49
04 Jun 2020,4,Jun,2020,61
04 Mar 2019,4,Mar,2019,41
04 Mar 2020,4,Mar,2020,42
04 May 2019,4,May,2019,67
04 May 2020,4,May,2020,30
04 Nov 2019,4,Nov,2019,33
04 Nov 2020,4,Nov,2020,45
04 Oct 2019,4,Oct,2019,25
04 Oct 2020,4,Oct,2020,25
04 Sep 2019,4,Sep,2019,50
04 Sep 2020,4,Sep,2020,48
05 Apr 2019,5,Apr,2019,48
05 Apr 2020,5,Apr,2020,71
05 Aug 2019,5,Aug,2019,56
05 Aug 2020,5,Aug,2020,92
05 Dec 2019,5,Dec,2019,47
05 Dec 2020,5,Dec,2020,38
05 Feb 2019,5,Feb,2019,33
05 Feb 2020,5,Feb,2020,60
05 Jan 2019,5,Jan,2019,51
05 Jan 2020,5,Jan,2020,46
05 Jul 2019,5,Jul,2019,76
05 Jul 2020,5,Jul,2020,67
05 Jun 2019,5,Jun,2019,59
05 Jun 2020,5,Jun,2020,65
05 Mar 2019,5,Mar,2019,40
05 Mar 2020,5,Mar,2020,34
05 May 2019,5,May,2019,70
05 May 2020,5,May,2020,53
05 Nov 2019,5,Nov,2019,83
05 Nov 2020,5,Nov,2020,85
05 Oct 2019,5,Oct,2019,50
05 Oct 2020,5,Oct,2020,27
05 Sep 2019,5,Sep,2019,47
05 Sep 2020,5,Sep,2020,42
06 Apr 2019,6,Apr,2019,38
06 Apr 2020,6,Apr,2020,50
06 Aug 2019,6,Aug,2019,61
06 Aug 2020,6,Aug,2020,85
06 Dec 2019,6,Dec,2019,32
06 Dec 2020,6,Dec,2020,24
06 Feb 2019,6,Feb,2019,32
06 Feb 2020,6,Feb,2020,55
06 Jan 2019,6,Jan,2019,55
06 Jan 2020,6,Jan,2020,45
06 Jul 2019,6,Jul,2019,72
06 Jul 2020,6,Jul,2020,61
06 Jun 2019,6,Jun,2019,77
06 Jun 2020,6,Jun,2020,55
06 Mar 2019,6,Mar,2019,40
06 Mar 2020,6,Mar,2020,45
06 May 2019,6,May,2019,68
06 May 2020,6,May,2020,36
06 Nov 2019,6,Nov,2019,46
06 Nov 2020,6,Nov,2020,64
06 Oct 2019,6,Oct,2019,49
06 Oct 2020,6,Oct,2020,35
