City,Date,Year,AvgTemperature,Avg_Temp,Sum of Number of occurrence
London,01-Jan-19,2019,47.3,47.3,96
London,02-Jan-19,2019,41.4,41.4,35
London,03-Jan-19,2019,40.7,40.7,42
London,04-Jan-19,2019,37.5,37.5,40
London,05-Jan-19,2019,40.2,40.2,51
London,06-Jan-19,2019,46,46,55
London,07-Jan-19,2019,48.6,48.6,42
London,08-Jan-19,2019,44.8,44.8,41
London,09-Jan-19,2019,39.6,39.6,35
London,10-Jan-19,2019,37.9,37.9,43
London,11-Jan-19,2019,45.5,45.5,36
London,12-Jan-19,2019,48.1,48.1,46
London,13-Jan-19,2019,50.9,50.9,46
London,14-Jan-19,2019,46.6,46.6,42
London,15-Jan-19,2019,43.8,43.8,47
London,16-Jan-19,2019,45.6,45.6,45
London,17-Jan-19,2019,38.3,38.3,44
London,18-Jan-19,2019,36.1,36.1,46
London,19-Jan-19,2019,39.4,39.4,51
London,20-Jan-19,2019,35.6,35.6,34
London,21-Jan-19,2019,35.3,35.3,47
London,22-Jan-19,2019,38.4,38.4,32
London,23-Jan-19,2019,-99,50.03,39
London,24-Jan-19,2019,34.3,34.3,37
London,25-Jan-19,2019,44.9,44.9,33
London,26-Jan-19,2019,47,47,35
London,27-Jan-19,2019,42.4,42.4,49
London,28-Jan-19,2019,37.3,37.3,37
London,29-Jan-19,2019,35.4,35.4,37
London,30-Jan-19,2019,34.5,34.5,40
London,31-Jan-19,2019,31.4,31.4,32
London,01-Feb-19,2019,34.7,34.7,30
London,02-Feb-19,2019,36.9,36.9,43
London,03-Feb-19,2019,35.5,35.5,43
London,04-Feb-19,2019,44.7,44.7,36
London,05-Feb-19,2019,43.7,43.7,33
London,06-Feb-19,2019,48.4,48.4,32
London,07-Feb-19,2019,46.4,46.4,38
London,08-Feb-19,2019,48.6,48.6,34
London,09-Feb-19,2019,47,47,47
London,10-Feb-19,2019,42.5,42.5,23
London,11-Feb-19,2019,42.8,42.8,57
London,12-Feb-19,2019,43.7,43.7,40
London,13-Feb-19,2019,45.7,45.7,39
London,14-Feb-19,2019,43.2,43.2,37
London,15-Feb-19,2019,44.3,44.3,37
London,16-Feb-19,2019,47.4,47.4,33
London,17-Feb-19,2019,49,49,52
London,18-Feb-19,2019,46.6,46.6,34
London,19-Feb-19,2019,44.6,44.6,38
London,20-Feb-19,2019,47.7,47.7,47
London,21-Feb-19,2019,50.2,50.2,44
London,22-Feb-19,2019,47.7,47.7,44
London,23-Feb-19,2019,49.7,49.7,45
London,24-Feb-19,2019,47.8,47.8,62
London,25-Feb-19,2019,48.8,48.8,50
London,26-Feb-19,2019,51,51,42
London,27-Feb-19,2019,51,51,60
London,28-Feb-19,2019,48.8,48.8,40
